day,planned_date,date_source,phase,week,week_theme,stage,stage_label,sector,sector_label,risk,format,format_label,topic,hook,stakes,verdict,cta_label,cta_url,briefing_url,short_status,reel_status,asset_link,posted_at,notes
87,2026-06-20,derived,Foundations,12,Convert awareness into commitment,sustain,Sustain,general,Foundations / all sectors,medium,stat,Stat,Consultation and diagnostic offer,Help serious SMBs move faster.,Position as diagnostic support not fear-selling. Include scope outcomes and sample deliverables.,The best offer is clarity with a deadline.,Browse templates,https://saralprivacy.com/resources,,,,,,
88,2026-06-21,derived,Foundations,12,Convert awareness into commitment,sustain,Sustain,general,Foundations / all sectors,medium,playbook,Playbook,Partner and community amplification,Expand reach through communities advisors and ecosystem partners.,Give them ready-made posts PDFs and short webinar blurbs.,A strong message scales faster when others can carry it cleanly.,Browse templates,https://saralprivacy.com/resources,,,,,,
89,2026-06-22,derived,Foundations,12,Convert awareness into commitment,sustain,Sustain,general,Foundations / all sectors,medium,stat,Stat,Executive recap,Distill the whole campaign.,"Cover what DPDPA means, where SMB risk sits, what has to be done next, and why delay is costly.",A founder letter works when it sounds like responsibility not marketing.,Browse templates,https://saralprivacy.com/resources,,,,,,
90,2026-06-23,derived,Foundations,12,Convert awareness into commitment,sustain,Sustain,general,Foundations / all sectors,medium,playbook,Playbook,Campaign close and next step,End with momentum not applause.,"Invite users to book a diagnostic, download the toolkit, or join the next community session.",A campaign succeeds when the audience leaves with a next move.,Browse templates,https://saralprivacy.com/resources,,,,,,
91,2026-06-23,planned,Industry verticals,13,Industry data reality,assess,Assess,ca-firms,CA firms,high,stat,Stat,CA Firms: what personal data sits inside a CA firm,CA firms handle dense client and employee personal data.,"PAN, Aadhaar, bank statements, ITR files, payroll data, employee records, family details, contact details, and supporting documents often sit across folders, emails, practice tools, and WhatsApp.",A CA firm is not just a finance business. It is a personal data warehouse.,Map my data,https://saralprivacy.com/discovery,,,,,,
92,2026-06-24,planned,Industry verticals,13,Industry data reality,assess,Assess,ca-firms,CA firms,high,explainer,Explainer,CA Firms: where a CA firm collects personal data,Personal data enters at many points before work even begins.,"Client onboarding forms, tax documents, payroll inputs, audit requests, advisory questionnaires, and email attachments create data inflow from day one.",Data collection starts before service delivery starts.,Map my data,https://saralprivacy.com/discovery,,,,,,
93,2026-06-25,planned,Industry verticals,13,Industry data reality,assess,Assess,ca-firms,CA firms,high,explainer,Explainer,CA Firms: who touches client and employee data in a CA firm,Too many hands often touch the same records.,"Partners, article assistants, payroll staff, admins, IT support, cloud vendors, and external consultants may all access parts of the same personal data set.",The more people who touch the file the more discipline the file needs.,Map my data,https://saralprivacy.com/discovery,,,,,,
94,2026-06-26,planned,Industry verticals,13,Industry data reality,assess,Assess,ca-firms,CA firms,high,checklist,Checklist,CA Firms: DPDPA touchpoints in tax payroll audit and advisory workflows,DPDPA touches routine firm operations not just policy documents.,"Client notices, secure handling, limited sharing, grievance contact, correction requests, retention review, and deletion discipline can all arise during normal delivery.",Most privacy risk in a CA firm hides inside normal work.,Map my data,https://saralprivacy.com/discovery,,,,,,
95,2026-06-27,planned,Industry verticals,13,Industry data reality,assess,Assess,ca-firms,CA firms,high,checklist,Checklist,CA Firms: first data-discipline fixes for CA firms,Start with control not perfection.,"Restrict folder access, separate client and HR data, stop open-ended sharing, create a vendor list, define retention for old files, and name one owner.",A better file structure is often the first compliance step.,Map my data,https://saralprivacy.com/discovery,,,,,,
96,2026-06-28,planned,Industry verticals,14,Industry data reality,assess,Assess,recruitment,Recruitment firms,high,stat,Stat,Recruitment firms: what personal data sits inside a staffing firm,Staffing firms are built on personal data movement.,"Resumes, phone numbers, emails, salaries, notice periods, background verification details, interview notes, ID proofs, payroll inputs, and client feedback all sit inside the workflow.",A staffing firm runs on candidate data the way a factory runs on raw material.,Map my data,https://saralprivacy.com/discovery,,,,,,
97,2026-06-29,planned,Industry verticals,14,Industry data reality,assess,Assess,recruitment,Recruitment firms,high,explainer,Explainer,Recruitment firms: where candidate and client data enters the workflow,Data enters from many sources not one.,"Job portals, referral forms, career pages, recruiter calls, client mandates, email CVs, WhatsApp messages, interview forms, and onboarding documents all create intake points.",The first privacy problem is usually too many intake points.,Map my data,https://saralprivacy.com/discovery,,,,,,
98,2026-06-30,planned,Industry verticals,14,Industry data reality,assess,Assess,recruitment,Recruitment firms,high,explainer,Explainer,Recruitment firms: who touches resumes BGV data and placement records,Candidate data travels fast across teams and clients.,"Recruiters, account managers, BGV vendors, payroll teams, clients, coordinators, and staffing software tools may all access or copy records.",Every forwarded resume creates a new data control problem.,Map my data,https://saralprivacy.com/discovery,,,,,,
99,2026-07-01,planned,Industry verticals,14,Industry data reality,assess,Assess,recruitment,Recruitment firms,high,checklist,Checklist,Recruitment firms: DPDPA touchpoints in sourcing sharing and retention,Recruitment workflows create repeated privacy touchpoints.,"Consent language, candidate communication, client sharing, rejected profile retention, database reuse, grievance handling, and deletion expectations all become relevant.",Just because a resume was sent once does not mean it can be reused forever.,Map my data,https://saralprivacy.com/discovery,,,,,,
100,2026-07-02,planned,Industry verticals,14,Industry data reality,assess,Assess,recruitment,Recruitment firms,high,checklist,Checklist,Recruitment firms: first data-discipline fixes for staffing firms,Fix reuse and oversharing first.,"Track where candidate data came from, control client forwarding, review retention of rejected candidates, restrict old database access, and document vendor use.",Recruitment discipline begins with knowing who got the CV and why.,Map my data,https://saralprivacy.com/discovery,,,,,,
101,2026-07-03,planned,Industry verticals,15,Industry data reality,assess,Assess,training-institutes,Training institutes,medium,stat,Stat,Training institutes: what student parent and staff data is handled,"Education businesses hold data on students and families, not just learners.","Admissions records, parent contacts, fee data, attendance, test scores, app logins, photographs, WhatsApp group details, and staff HR records all create a layered data footprint.",A training institute holds family data not just student data.,Map my data,https://saralprivacy.com/discovery,,,,,,
102,2026-07-04,planned,Industry verticals,15,Industry data reality,assess,Assess,training-institutes,Training institutes,medium,explainer,Explainer,Training institutes: where admissions fee attendance and WhatsApp data enters,Data enters through every stage of the learning journey.,"Enquiry forms, admission forms, payment records, attendance systems, student apps, test portals, WhatsApp groups, and feedback forms all create personal data flows.",One student journey can create data in ten different places.,Map my data,https://saralprivacy.com/discovery,,,,,,
103,2026-07-05,planned,Industry verticals,15,Industry data reality,assess,Assess,training-institutes,Training institutes,medium,explainer,Explainer,Training institutes: who touches student and parent data,Academic and admin teams both touch sensitive records.,"Counsellors, admins, teachers, finance teams, app vendors, coordinators, photographers, and marketing teams may all see different pieces of the same student record.",When many teams touch the same child or parent record chaos becomes risk.,Map my data,https://saralprivacy.com/discovery,,,,,,
104,2026-07-06,planned,Industry verticals,15,Industry data reality,assess,Assess,training-institutes,Training institutes,medium,checklist,Checklist,Training institutes: DPDPA touchpoints in admissions communication and records,Education workflows need careful handling of notices and access.,"Admission forms, consent-style messaging, parent communication, grievance contact, correction requests, retention of inactive students, and vendor access all create touchpoints.",In education the record often outlives the classroom.,Map my data,https://saralprivacy.com/discovery,,,,,,
105,2026-07-07,planned,Industry verticals,15,Industry data reality,assess,Assess,training-institutes,Training institutes,medium,checklist,Checklist,Training institutes: first data-discipline fixes for training businesses,Start with visibility and access control.,"Map systems, restrict photo and student-file access, separate marketing lists from student records, review parent communication channels, and clean old inactive data.",Do not let the class WhatsApp group become the unofficial student database.,Map my data,https://saralprivacy.com/discovery,,,,,,
106,2026-07-08,planned,Industry verticals,16,Industry data reality,assess,Assess,d2c-brands,D2C brands,medium,stat,Stat,D2C brands: what customer and support data sits inside a D2C business,D2C brands collect personal data at almost every revenue touchpoint.,"Customer name, phone, email, shipping address, order history, payment-linked details, support chats, loyalty data, campaign engagement, and returns information all pile up quickly.",Every order is also a data event.,Map my data,https://saralprivacy.com/discovery,,,,,,
107,2026-07-09,planned,Industry verticals,16,Industry data reality,assess,Assess,d2c-brands,D2C brands,medium,explainer,Explainer,D2C brands: where website checkout support and marketing data enters,Data enters from browsing to post-sale support.,"Website forms, checkout pages, payment tools, CRM systems, WhatsApp support, email campaigns, ad platforms, and return forms all create separate data streams.",Growth tools collect data faster than founders realise.,Map my data,https://saralprivacy.com/discovery,,,,,,
108,2026-07-10,planned,Industry verticals,16,Industry data reality,assess,Assess,d2c-brands,D2C brands,medium,explainer,Explainer,D2C brands: who touches orders returns and campaign data,Commerce data is shared across many tools and teams.,"Founders, customer support, warehouse teams, agencies, CRM vendors, analytics tools, logistics partners, and finance teams may all access customer-linked information.",The customer record is usually spread across tools not stored in one place.,Map my data,https://saralprivacy.com/discovery,,,,,,
109,2026-07-11,planned,Industry verticals,16,Industry data reality,assess,Assess,d2c-brands,D2C brands,medium,checklist,Checklist,D2C brands: DPDPA touchpoints in lead capture campaigns and order support,D2C privacy issues are often marketing and support issues in disguise.,"Lead forms, campaign consent, customer communication, support exports, abandoned cart flows, returns handling, and retention of inactive users all create touchpoints.",Bad campaign hygiene can become a privacy problem long before it becomes a legal problem.,Map my data,https://saralprivacy.com/discovery,,,,,,
110,2026-07-12,planned,Industry verticals,16,Industry data reality,assess,Assess,d2c-brands,D2C brands,medium,checklist,Checklist,D2C brands: first data-discipline fixes for D2C brands,Fix forms lists and access first.,"Remove extra fields, review agency access, tighten CRM roles, document logistics sharing, separate marketing and transactional flows, and clean old campaign lists.",The fastest privacy win in D2C is often deleting useless data.,Map my data,https://saralprivacy.com/discovery,,,,,,
111,2026-07-13,planned,Industry verticals,17,Industry data reality,assess,Assess,clinics-labs,Clinics & labs,high,stat,Stat,Clinics and labs: what patient and billing data sits inside a clinic or lab,Clinics and labs hold some of the most trust-sensitive records in SMB India.,"Patient names, contact details, appointments, test requests, reports, prescriptions, billing records, payment details, and internal notes may exist across software and messaging tools.",In healthcare the record is part of the service itself.,Map my data,https://saralprivacy.com/discovery,,,,,,
112,2026-07-14,planned,Industry verticals,17,Industry data reality,assess,Assess,clinics-labs,Clinics & labs,high,explainer,Explainer,Clinics and labs: where reports diagnostics bookings and payments create data,"Data enters before, during, and after treatment or testing.","Booking calls, registration desks, lab forms, doctor consultations, report delivery, billing systems, and WhatsApp or SMS communication all create patient data flows.",A patient journey creates data at every step not just at registration.,Map my data,https://saralprivacy.com/discovery,,,,,,
113,2026-07-15,planned,Industry verticals,17,Industry data reality,assess,Assess,clinics-labs,Clinics & labs,high,explainer,Explainer,Clinics and labs: who touches patient data internally and externally,Healthcare data is often seen by more people than patients assume.,"Reception, doctors, lab technicians, billing staff, software vendors, report-sharing staff, collection partners, and IT support teams may all touch parts of the record.",A patient report should not travel like a normal office attachment.,Map my data,https://saralprivacy.com/discovery,,,,,,
114,2026-07-16,planned,Industry verticals,17,Industry data reality,assess,Assess,clinics-labs,Clinics & labs,high,checklist,Checklist,Clinics and labs: DPDPA touchpoints in patient communication and record handling,Patient communication creates privacy duties in practice.,"Notice, access control, report delivery, correction requests, grievance handling, vendor exposure, retention review, and incident response all matter in routine healthcare workflows.",In clinics privacy risk often enters through convenience channels.,Map my data,https://saralprivacy.com/discovery,,,,,,
115,2026-07-17,planned,Industry verticals,17,Industry data reality,assess,Assess,clinics-labs,Clinics & labs,high,checklist,Checklist,Clinics and labs: first data-discipline fixes for clinics and labs,Control report sharing and access first.,"Review who can send reports, reduce open folder access, document vendor tools, define retention for old records, and create a visible contact for patient concerns.",The first healthcare privacy fix is often who can send what to whom.,Map my data,https://saralprivacy.com/discovery,,,,,,
116,2026-07-18,planned,Industry verticals,18,Industry data reality,assess,Assess,schools-colleges,Schools & colleges,high,stat,Stat,Schools and colleges: what student parent teacher and admin data is held,Education institutions hold long-life records across many stakeholders.,"Admissions data, student profiles, parent contacts, attendance, fee records, academic performance, transport details, app data, photos, and staff records all add up.",A school record often follows a child for years.,Map my data,https://saralprivacy.com/discovery,,,,,,
117,2026-07-19,planned,Industry verticals,18,Industry data reality,assess,Assess,schools-colleges,Schools & colleges,high,explainer,Explainer,Schools and colleges: where admissions attendance fee and app data enters,Data enters through academic and admin systems together.,"Admission forms, ERP systems, parent apps, attendance tools, transport lists, exam systems, fee portals, and communication channels all create parallel data flows.",A school has more data systems than most parents imagine.,Map my data,https://saralprivacy.com/discovery,,,,,,
118,2026-07-20,planned,Industry verticals,18,Industry data reality,assess,Assess,schools-colleges,Schools & colleges,high,explainer,Explainer,Schools and colleges: who touches school and college personal data,Student data is shared across roles not departments alone.,"Admissions staff, teachers, admins, finance, transport coordinators, app vendors, counsellors, and external service providers may all access parts of the same student record.",When a student record crosses too many desks it starts losing control.,Map my data,https://saralprivacy.com/discovery,,,,,,
119,2026-07-21,planned,Industry verticals,18,Industry data reality,assess,Assess,schools-colleges,Schools & colleges,high,checklist,Checklist,Schools and colleges: DPDPA touchpoints in student lifecycle workflows,Every stage of the student journey creates a privacy touchpoint.,"Admission, communication, academic records, correction requests, grievance contact, parental communication, vendor access, and retention of former student records all matter.",In education data discipline must survive beyond the academic year.,Map my data,https://saralprivacy.com/discovery,,,,,,
120,2026-07-22,planned,Industry verticals,18,Industry data reality,assess,Assess,schools-colleges,Schools & colleges,high,checklist,Checklist,Schools and colleges: first data-discipline fixes for schools and colleges,Start with system mapping and role-based access.,"Map apps and vendors, separate academic and marketing data, review parent communication channels, restrict broad downloads, and define how old student records are reviewed.",Do not let convenience become the school’s data policy.,Map my data,https://saralprivacy.com/discovery,,,,,,
121,2026-07-23,planned,Industry verticals,19,Industry data reality,assess,Assess,law-firms,Law firms,high,stat,Stat,Law firms: what client and matter-linked personal data is handled,Legal practice holds deeply contextual personal data.,"Client identity records, case papers, evidence, witness details, contracts, employee records, billing data, and communication trails often sit across matter folders and emails.",A law firm handles more than documents. It handles lives inside documents.,Map my data,https://saralprivacy.com/discovery,,,,,,
122,2026-07-24,planned,Industry verticals,19,Industry data reality,assess,Assess,law-firms,Law firms,high,explainer,Explainer,Law firms: where legal onboarding matter work and document exchange creates data,Personal data enters throughout the life of the matter.,"KYC, engagement letters, pleadings, annexures, evidence files, advice emails, billing records, and court-related coordination all add to the file trail.",In legal work the file keeps growing long after onboarding.,Map my data,https://saralprivacy.com/discovery,,,,,,
123,2026-07-25,planned,Industry verticals,19,Industry data reality,assess,Assess,law-firms,Law firms,high,explainer,Explainer,Law firms: who touches client files evidence and support records,Client data often spreads wider than the client expects.,"Partners, associates, interns, clerks, litigation support staff, e-discovery tools, external counsel, and admin teams may all access matter-linked records.",The privilege of the profession does not remove the burden of discipline.,Map my data,https://saralprivacy.com/discovery,,,,,,
124,2026-07-26,planned,Industry verticals,19,Industry data reality,assess,Assess,law-firms,Law firms,high,checklist,Checklist,Law firms: DPDPA touchpoints in legal practice workflows,Legal workflows still need structured privacy discipline.,"Notice touchpoints, secure sharing, correction handling, grievance contact, vendor access, retention review, and incident response all appear inside normal matter management.",Legal sensitivity makes weak file practice more dangerous not less.,Map my data,https://saralprivacy.com/discovery,,,,,,
125,2026-07-27,planned,Industry verticals,19,Industry data reality,assess,Assess,law-firms,Law firms,high,checklist,Checklist,Law firms: first data-discipline fixes for law firms,Fix matter access and uncontrolled sharing first.,"Restrict shared drives, separate matter folders clearly, review intern access, document external tool use, and define retention review for closed matters.",A closed matter is not a free parking lot for old personal data.,Map my data,https://saralprivacy.com/discovery,,,,,,
126,2026-07-28,planned,Industry verticals,20,Industry data reality,assess,Assess,real-estate,Real estate firms,medium,stat,Stat,Real estate firms: what buyer seller tenant and lead data sits in the business,Property businesses handle high-volume identity and transaction-linked data.,"Lead forms, phone numbers, KYC documents, tenant records, seller details, site visit logs, agreement copies, and payment-linked communications all create a large data trail.",A property deal creates more personal data than most brokers realise.,Map my data,https://saralprivacy.com/discovery,,,,,,
127,2026-07-29,planned,Industry verticals,20,Industry data reality,assess,Assess,real-estate,Real estate firms,medium,explainer,Explainer,Real estate firms: where KYC site visits broker forms and agreement flows create data,Data enters through the full property journey.,"Enquiry calls, site visit bookings, WhatsApp sharing, KYC collection, broker notes, agreement drafts, token payment records, and tenant onboarding all create intake points.",The first data risk in real estate is usually informal sharing.,Map my data,https://saralprivacy.com/discovery,,,,,,
128,2026-07-30,planned,Industry verticals,20,Industry data reality,assess,Assess,real-estate,Real estate firms,medium,explainer,Explainer,Real estate firms: who touches property lead and transaction data,Lead data moves across people quickly and informally.,"Brokers, channel partners, office admins, landlords, tenants, finance teams, legal drafters, and CRM tools may all touch the same file.",Every shared lead sheet is a privacy control test.,Map my data,https://saralprivacy.com/discovery,,,,,,
129,2026-07-31,planned,Industry verticals,20,Industry data reality,assess,Assess,real-estate,Real estate firms,medium,checklist,Checklist,Real estate firms: DPDPA touchpoints in brokerage and property operations,Brokerage workflows create repeated privacy exposure points.,"Notice touchpoints, client communication, KYC handling, correction requests, grievance contact, vendor exposure, and retention review all arise inside ordinary business.",Property sales may close in months but the data often stays for years.,Map my data,https://saralprivacy.com/discovery,,,,,,
130,2026-08-01,planned,Industry verticals,20,Industry data reality,assess,Assess,real-estate,Real estate firms,medium,checklist,Checklist,Real estate firms: first data-discipline fixes for real estate firms,Control lead sharing and KYC sprawl first.,"Review who gets lead sheets, restrict document downloads, centralise agreement files, stop uncontrolled WhatsApp forwarding, and define data review for old prospects.",Real estate privacy discipline starts by shrinking the informal network.,Map my data,https://saralprivacy.com/discovery,,,,,,
131,2026-08-02,planned,Industry verticals,21,Industry data reality,assess,Assess,hospitality,Hospitality businesses,medium,stat,Stat,Hospitality businesses: what guest and booking data is handled,Hospitality firms collect identity and stay-linked data at scale.,"Guest names, phone numbers, email IDs, booking records, check-in details, invoices, support requests, loyalty data, and travel-linked information may all sit across systems.",Every booking creates both a stay record and a data trail.,Map my data,https://saralprivacy.com/discovery,,,,,,
132,2026-08-03,planned,Industry verticals,21,Industry data reality,assess,Assess,hospitality,Hospitality businesses,medium,explainer,Explainer,Hospitality businesses: where booking check-in OTA invoice and support data enters,Guest data enters through many channels not one front desk.,"Direct website bookings, OTAs, reception desks, ID collection, support calls, food orders, billing systems, and post-stay feedback all create flows.",Hospitality data starts online before the guest even walks in.,Map my data,https://saralprivacy.com/discovery,,,,,,
133,2026-08-04,planned,Industry verticals,21,Industry data reality,assess,Assess,hospitality,Hospitality businesses,medium,explainer,Explainer,Hospitality businesses: who touches guest records and travel-linked information,Guest records are touched by more roles than most guests see.,"Front desk teams, reservation staff, housekeeping coordinators, finance, travel partners, OTA-linked systems, support desks, and IT vendors may all access elements of the guest record.",A guest file should not become a staff-wide open book.,Map my data,https://saralprivacy.com/discovery,,,,,,
134,2026-08-05,planned,Industry verticals,21,Industry data reality,assess,Assess,hospitality,Hospitality businesses,medium,checklist,Checklist,Hospitality businesses: DPDPA touchpoints in booking and guest-service workflows,Guest service workflows create practical privacy duties.,"Notice touchpoints, identity handling, grievance contact, correction requests, secure sharing, vendor exposure, retention review, and incident response all matter.",The warmest guest experience still needs a disciplined back office.,Map my data,https://saralprivacy.com/discovery,,,,,,
135,2026-08-06,planned,Industry verticals,21,Industry data reality,assess,Assess,hospitality,Hospitality businesses,medium,checklist,Checklist,Hospitality businesses: first data-discipline fixes for hospitality businesses,Fix guest record visibility and sharing first.,"Review who sees booking data, control ID copy access, document OTA and vendor flows, define retention review, and centralise guest communication records.",Good hospitality does not require loose data handling.,Map my data,https://saralprivacy.com/discovery,,,,,,
136,2026-08-07,planned,Industry verticals,22,Industry data reality,assess,Assess,pharmacies,Pharmacies,high,stat,Stat,Pharmacies: what prescription order and customer data is handled,Pharmacies hold customer data linked to medicine and fulfilment.,"Customer names, phone numbers, addresses, prescription uploads, medicine orders, delivery details, support chats, and repeat-order histories often sit in multiple systems.",A medicine order is also a personal data event.,Map my data,https://saralprivacy.com/discovery,,,,,,
137,2026-08-08,planned,Industry verticals,22,Industry data reality,assess,Assess,pharmacies,Pharmacies,high,explainer,Explainer,Pharmacies: where medicine orders prescription uploads and delivery data enters,"Data enters through order, verification, and fulfilment flows.","Walk-in counters, websites, apps, WhatsApp orders, prescription uploads, call support, and delivery coordination all create data collection points.",Convenience ordering can quietly multiply privacy risk.,Map my data,https://saralprivacy.com/discovery,,,,,,
138,2026-08-09,planned,Industry verticals,22,Industry data reality,assess,Assess,pharmacies,Pharmacies,high,explainer,Explainer,Pharmacies: who touches pharmacy customer and prescription-linked data,Order fulfilment spreads data across teams and vendors.,"Pharmacists, cashiers, delivery staff, support teams, platform vendors, call centres, and tech providers may all access customer-linked records.",Every extra hand in the order chain needs a clear reason.,Map my data,https://saralprivacy.com/discovery,,,,,,
139,2026-08-10,planned,Industry verticals,22,Industry data reality,assess,Assess,pharmacies,Pharmacies,high,checklist,Checklist,Pharmacies: DPDPA touchpoints in order fulfilment and support flows,Pharmacy workflows create specific data handling expectations.,"Notice touchpoints, prescription handling, customer communication, grievance contact, correction requests, vendor exposure, retention review, and incident planning all matter.",Pharmacy privacy risk often grows inside support and fulfilment not just at checkout.,Map my data,https://saralprivacy.com/discovery,,,,,,
140,2026-08-11,planned,Industry verticals,22,Industry data reality,assess,Assess,pharmacies,Pharmacies,high,checklist,Checklist,Pharmacies: first data-discipline fixes for pharmacies,Fix prescription visibility and order-sharing first.,"Restrict access to uploaded prescriptions, centralise order records, review delivery partner sharing, define retention review, and reduce informal messaging-based handling.",The safest pharmacy workflow is the one that leaves the fewest loose copies behind.,Map my data,https://saralprivacy.com/discovery,,,,,,
141,2026-08-12,planned,Industry verticals,23,Industry compliance touchpoints,fix,Fix,nbfc,NBFCs,high,explainer,Explainer,NBFCs: notice touchpoints in loan onboarding and servicing flows,Notice must show up where customer data is actually collected and used.,"Lead forms, KYC intake, loan applications, repayment support, collections communication, and servicing channels all create points where the customer should understand what data is being collected and why.",A notice is useful only if it appears where the data enters the business.,Get the checklist,https://saralprivacy.com/resources,,,,,,
142,2026-08-13,planned,Industry verticals,23,Industry compliance touchpoints,fix,Fix,nbfc,NBFCs,high,explainer,Explainer,NBFCs: data-use and customer communication touchpoints,Customer communication creates repeated data-handling moments.,"Application updates, repayment reminders, call-centre interactions, verification calls, and support tickets all involve use of personal data across internal teams and service partners.",Every customer communication trail is also a data-use trail.,Get the checklist,https://saralprivacy.com/resources,,,,,,
143,2026-08-14,planned,Industry verticals,23,Industry compliance touchpoints,fix,Fix,nbfc,NBFCs,high,checklist,Checklist,NBFCs: security safeguards and processor exposure,Loan businesses depend on tools and partners that expand exposure.,"LOS platforms, KYC vendors, call centres, collection partners, cloud tools, CRM systems, and analytics vendors may all handle borrower-linked personal data and therefore require disciplined control.",The bigger the processor chain the tighter the control chain must be.,Get the checklist,https://saralprivacy.com/resources,,,,,,
144,2026-08-15,planned,Industry verticals,23,Industry compliance touchpoints,fix,Fix,nbfc,NBFCs,high,checklist,Checklist,NBFCs: rights grievance and response channels,Customers need a clear route for questions and complaints.,"A practical setup needs a published contact path, an internal escalation path, and a response rhythm for data-related concerns, correction requests, and grievance handling.",A grievance channel is not decoration. It is operating infrastructure.,Get the checklist,https://saralprivacy.com/resources,,,,,,
145,2026-08-16,planned,Industry verticals,23,Industry compliance touchpoints,fix,Fix,nbfc,NBFCs,high,playbook,Playbook,NBFCs: retention erasure and breach-response planning,Data should not sit forever without purpose review.,"Loan records, rejected applications, closed accounts, support logs, and archived communications all need structured review, while incident escalation should be defined before a problem occurs.",Old borrower data is still live risk if nobody reviews it.,Get the checklist,https://saralprivacy.com/resources,,,,,,
146,2026-08-17,planned,Industry verticals,24,Industry compliance touchpoints,fix,Fix,insurance-brokers,Insurance brokers,high,explainer,Explainer,Insurance brokers: notice touchpoints in lead proposal and servicing journeys,Insurance workflows collect data long before policy issuance.,"Lead forms, proposal intake, insurer communication, KYC, policy servicing, renewals, and claims support all create points where individuals should understand what data is being handled.",The proposal stage is already a privacy stage.,Get the checklist,https://saralprivacy.com/resources,,,,,,
147,2026-08-18,planned,Industry verticals,24,Industry compliance touchpoints,fix,Fix,insurance-brokers,Insurance brokers,high,explainer,Explainer,Insurance brokers: data-use and communication touchpoints,Broker communication depends on personal data movement.,"Calls, proposal sharing, insurer coordination, renewal reminders, claims assistance, and CRM-based follow-ups create repeated personal data usage across parties.",A broker’s communication trail can be longer than the policy journey itself.,Get the checklist,https://saralprivacy.com/resources,,,,,,
148,2026-08-19,planned,Industry verticals,24,Industry compliance touchpoints,fix,Fix,insurance-brokers,Insurance brokers,high,checklist,Checklist,Insurance brokers: security safeguards and processor exposure,Insurance distribution relies on multiple external systems and partners.,"CRM tools, insurer portals, proposal tools, email trails, agency systems, telecalling support, and third-party processors can all increase exposure if controls are weak.",Insurance data travels through more systems than the customer sees.,Get the checklist,https://saralprivacy.com/resources,,,,,,
149,2026-08-20,planned,Industry verticals,24,Industry compliance touchpoints,fix,Fix,insurance-brokers,Insurance brokers,high,checklist,Checklist,Insurance brokers: rights grievance and customer response channels,Policyholders need a visible and workable escalation path.,"Questions about data handling, correction, communication preferences, and complaints should not disappear into sales follow-up. They need ownership and internal routing.",A visible response path builds more trust than a glossy brochure.,Get the checklist,https://saralprivacy.com/resources,,,,,,
150,2026-08-21,planned,Industry verticals,24,Industry compliance touchpoints,fix,Fix,insurance-brokers,Insurance brokers,high,playbook,Playbook,Insurance brokers: retention erasure and breach-response planning,Proposal and servicing records need lifecycle discipline.,"Unissued proposals, old policy records, renewal databases, claim-support documents, and archived communications should not remain untouched indefinitely, and breach escalation needs named owners.",Insurance records age quietly but risk does not.,Get the checklist,https://saralprivacy.com/resources,,,,,,
151,2026-08-22,planned,Industry verticals,25,Industry compliance touchpoints,fix,Fix,manufacturing,Manufacturing firms,medium,explainer,Explainer,Manufacturing firms: notice touchpoints in employee contractor visitor and vendor data,Manufacturing privacy touchpoints are often workforce and site-driven.,"Hiring forms, contractor onboarding, visitor logs, attendance systems, medical checks, transport records, and vendor interactions create recurring collection points.",A factory gate can be a data-collection point too.,Get the checklist,https://saralprivacy.com/resources,,,,,,
152,2026-08-23,planned,Industry verticals,25,Industry compliance touchpoints,fix,Fix,manufacturing,Manufacturing firms,medium,explainer,Explainer,Manufacturing firms: data-use and internal movement touchpoints,Operational systems move workforce data across functions.,"HR, admin, security, plant operations, EHS teams, payroll, transport, and vendor management often share records across systems and spreadsheets.","In manufacturing, personal data often moves with operations not meetings.",Get the checklist,https://saralprivacy.com/resources,,,,,,
153,2026-08-24,planned,Industry verticals,25,Industry compliance touchpoints,fix,Fix,manufacturing,Manufacturing firms,medium,checklist,Checklist,Manufacturing firms: security safeguards and processor exposure,Industrial businesses often underestimate digital exposure in routine processes.,"Attendance vendors, payroll processors, security system providers, ERP users, facility contractors, and cloud storage tools can all sit in the exposure chain.","The plant may be physical, but the privacy risk is often digital.",Get the checklist,https://saralprivacy.com/resources,,,,,,
154,2026-08-25,planned,Industry verticals,25,Industry compliance touchpoints,fix,Fix,manufacturing,Manufacturing firms,medium,checklist,Checklist,Manufacturing firms: rights grievance and workforce response channels,Employees and contractors need a functional response path.,"Data-related concerns should have a named contact, escalation owner, and handling path across HR, admin, security, and legal or compliance functions.",If nobody knows where to send the question the question becomes a risk.,Get the checklist,https://saralprivacy.com/resources,,,,,,
155,2026-08-26,planned,Industry verticals,25,Industry compliance touchpoints,fix,Fix,manufacturing,Manufacturing firms,medium,playbook,Playbook,Manufacturing firms: retention erasure and breach-response planning,"Visitor, employee, and contractor data needs review, not endless storage.","Old logs, contractor records, security extracts, medical records, and archived workforce files should be reviewed by purpose and need, while incident handling must be pre-defined.",Operational data becomes liability when it outlives its purpose.,Get the checklist,https://saralprivacy.com/resources,,,,,,
156,2026-08-27,planned,Industry verticals,26,Industry compliance touchpoints,fix,Fix,logistics,Logistics firms,medium,explainer,Explainer,Logistics firms: notice touchpoints in driver shipment and workforce data,Logistics businesses collect data through movement and coordination.,"Driver onboarding, shipment records, tracking tools, customer service, warehouse access, delivery logs, and workforce management all create notice-relevant points.","In logistics, the route of data matters as much as the route of goods.",Get the checklist,https://saralprivacy.com/resources,,,,,,
